Date,Diesel Retail Prices (Dollars per Gallon),LANDING_YEAR,LANDING_MONTH
Apr-94,1.107,1994,4
May-94,1.1,1994,5
Jun-94,1.103,1994,6
Jul-94,1.11,1994,7
Aug-94,1.123,1994,8
Sep-94,1.125,1994,9
Oct-94,1.122,1994,10
Nov-94,1.131,1994,11
Dec-94,1.113,1994,12
Jan-95,1.098,1995,1
Feb-95,1.088,1995,2
Mar-95,1.088,1995,3
Apr-95,1.104,1995,4
May-95,1.126,1995,5
Jun-95,1.12,1995,6
Jul-95,1.1,1995,7
Aug-95,1.105,1995,8
Sep-95,1.119,1995,9
Oct-95,1.115,1995,10
Nov-95,1.12,1995,11
Dec-95,1.13,1995,12
Jan-96,1.145,1996,1
Feb-96,1.145,1996,2
Mar-96,1.183,1996,3
Apr-96,1.275,1996,4
May-96,1.273,1996,5
Jun-96,1.201,1996,6
Jul-96,1.176,1996,7
Aug-96,1.201,1996,8
Sep-96,1.265,1996,9
Oct-96,1.323,1996,10
Nov-96,1.323,1996,11
Dec-96,1.309,1996,12
Jan-97,1.291,1997,1
Feb-97,1.28,1997,2
Mar-97,1.229,1997,3
Apr-97,1.212,1997,4
May-97,1.196,1997,5
Jun-97,1.173,1997,6
Jul-97,1.151,1997,7
Aug-97,1.165,1997,8
Sep-97,1.16,1997,9
Oct-97,1.183,1997,10
Nov-97,1.192,1997,11
Dec-97,1.166,1997,12
Jan-98,1.12,1998,1
Feb-98,1.084,1998,2
Mar-98,1.063,1998,3
Apr-98,1.067,1998,4
May-98,1.069,1998,5
Jun-98,1.041,1998,6
Jul-98,1.029,1998,7
Aug-98,1.007,1998,8
Sep-98,1.024,1998,9
Oct-98,1.039,1998,10
Nov-98,1.022,1998,11
Dec-98,0.973,1998,12
Jan-99,0.967,1999,1
Feb-99,0.959,1999,2
Mar-99,0.997,1999,3
Apr-99,1.079,1999,4
May-99,1.073,1999,5
Jun-99,1.074,1999,6
Jul-99,1.122,1999,7
Aug-99,1.172,1999,8
Sep-99,1.215,1999,9
Oct-99,1.228,1999,10
Nov-99,1.263,1999,11
Dec-99,1.292,1999,12
Jan-00,1.356,2000,1
Feb-00,1.461,2000,2
Mar-00,1.479,2000,3
Apr-00,1.422,2000,4
May-00,1.42,2000,5
Jun-00,1.421,2000,6
Jul-00,1.434,2000,7
Aug-00,1.466,2000,8
Sep-00,1.637,2000,9
Oct-00,1.637,2000,10
Nov-00,1.621,2000,11
Dec-00,1.565,2000,12
Jan-01,1.524,2001,1
Feb-01,1.492,2001,2
Mar-01,1.399,2001,3
Apr-01,1.422,2001,4
May-01,1.496,2001,5
Jun-01,1.482,2001,6
Jul-01,1.375,2001,7
Aug-01,1.39,2001,8
Sep-01,1.495,2001,9
Oct-01,1.348,2001,10
Nov-01,1.259,2001,11
Dec-01,1.167,2001,12
Jan-02,1.153,2002,1
Feb-02,1.152,2002,2
Mar-02,1.23,2002,3
Apr-02,1.309,2002,4
May-02,1.305,2002,5
Jun-02,1.286,2002,6
Jul-02,1.299,2002,7
Aug-02,1.328,2002,8
Sep-02,1.411,2002,9
Oct-02,1.462,2002,10
Nov-02,1.42,2002,11
Dec-02,1.429,2002,12
Jan-03,1.488,2003,1
Feb-03,1.654,2003,2
Mar-03,1.708,2003,3
Apr-03,1.533,2003,4
May-03,1.451,2003,5
Jun-03,1.424,2003,6
Jul-03,1.435,2003,7
Aug-03,1.487,2003,8
Sep-03,1.467,2003,9
Oct-03,1.481,2003,10
Nov-03,1.482,2003,11
Dec-03,1.49,2003,12
Jan-04,1.551,2004,1
Feb-04,1.582,2004,2
Mar-04,1.629,2004,3
Apr-04,1.692,2004,4
May-04,1.746,2004,5
Jun-04,1.711,2004,6
Jul-04,1.739,2004,7
Aug-04,1.833,2004,8
Sep-04,1.917,2004,9
Oct-04,2.134,2004,10
Nov-04,2.147,2004,11
Dec-04,2.009,2004,12
Jan-05,1.959,2005,1
Feb-05,2.027,2005,2
Mar-05,2.214,2005,3
Apr-05,2.292,2005,4
May-05,2.199,2005,5
Jun-05,2.29,2005,6
Jul-05,2.373,2005,7
Aug-05,2.5,2005,8
Sep-05,2.819,2005,9
Oct-05,3.095,2005,10
Nov-05,2.573,2005,11
Dec-05,2.443,2005,12
Jan-06,2.467,2006,1
Feb-06,2.475,2006,2
Mar-06,2.559,2006,3
Apr-06,2.728,2006,4
May-06,2.897,2006,5
Jun-06,2.898,2006,6
Jul-06,2.934,2006,7
Aug-06,3.045,2006,8
Sep-06,2.783,2006,9
Oct-06,2.519,2006,10
Nov-06,2.545,2006,11
Dec-06,2.61,2006,12
Jan-07,2.485,2007,1
Feb-07,2.488,2007,2
Mar-07,2.667,2007,3
Apr-07,2.834,2007,4
May-07,2.796,2007,5
Jun-07,2.808,2007,6
Jul-07,2.868,2007,7
Aug-07,2.869,2007,8
Sep-07,2.953,2007,9
Oct-07,3.075,2007,10
Nov-07,3.396,2007,11
Dec-07,3.341,2007,12
Jan-08,3.308,2008,1
Feb-08,3.377,2008,2
Mar-08,3.881,2008,3
Apr-08,4.084,2008,4
May-08,4.425,2008,5
Jun-08,4.677,2008,6
Jul-08,4.703,2008,7
Aug-08,4.302,2008,8
Sep-08,4.024,2008,9
Oct-08,3.576,2008,10
Nov-08,2.876,2008,11
Dec-08,2.449,2008,12
Jan-09,2.292,2009,1
Feb-09,2.195,2009,2
Mar-09,2.092,2009,3
Apr-09,2.22,2009,4
May-09,2.227,2009,5
Jun-09,2.529,2009,6
Jul-09,2.54,2009,7
Aug-09,2.634,2009,8
Sep-09,2.626,2009,9
Oct-09,2.672,2009,10
Nov-09,2.792,2009,11
Dec-09,2.745,2009,12
Jan-10,2.845,2010,1
Feb-10,2.785,2010,2
Mar-10,2.915,2010,3
Apr-10,3.059,2010,4
May-10,3.069,2010,5
Jun-10,2.948,2010,6
Jul-10,2.911,2010,7
Aug-10,2.959,2010,8
Sep-10,2.946,2010,9
Oct-10,3.052,2010,10
Nov-10,3.14,2010,11
Dec-10,3.243,2010,12
Jan-11,3.388,2011,1
Feb-11,3.584,2011,2
Mar-11,3.905,2011,3
Apr-11,4.064,2011,4
May-11,4.047,2011,5
Jun-11,3.933,2011,6
Jul-11,3.905,2011,7
Aug-11,3.86,2011,8
Sep-11,3.837,2011,9
Oct-11,3.798,2011,10
Nov-11,3.962,2011,11
Dec-11,3.861,2011,12
Jan-12,3.833,2012,1
Feb-12,3.953,2012,2
Mar-12,4.127,2012,3
Apr-12,4.115,2012,4
May-12,3.979,2012,5
Jun-12,3.759,2012,6
Jul-12,3.721,2012,7
Aug-12,3.983,2012,8
Sep-12,4.12,2012,9
Oct-12,4.094,2012,10
Nov-12,4,2012,11
Dec-12,3.961,2012,12
Jan-13,3.909,2013,1
Feb-13,4.111,2013,2
Mar-13,4.068,2013,3
Apr-13,3.93,2013,4
May-13,3.87,2013,5
Jun-13,3.849,2013,6
Jul-13,3.866,2013,7
Aug-13,3.905,2013,8
Sep-13,3.961,2013,9
Oct-13,3.885,2013,10
Nov-13,3.839,2013,11
Dec-13,3.882,2013,12
Jan-14,3.893,2014,1
Feb-14,3.984,2014,2
Mar-14,4.001,2014,3
Apr-14,3.964,2014,4
May-14,3.943,2014,5
Jun-14,3.906,2014,6
Jul-14,3.884,2014,7
Aug-14,3.838,2014,8
Sep-14,3.792,2014,9
Oct-14,3.681,2014,10
Nov-14,3.647,2014,11
Dec-14,3.411,2014,12
Jan-15,2.997,2015,1
Feb-15,2.858,2015,2
Mar-15,2.897,2015,3
Apr-15,2.782,2015,4
May-15,2.888,2015,5
Jun-15,2.873,2015,6
Jul-15,2.788,2015,7
Aug-15,2.595,2015,8
Sep-15,2.505,2015,9
Oct-15,2.519,2015,10
Nov-15,2.467,2015,11
Dec-15,2.31,2015,12
Jan-16,2.143,2016,1
Feb-16,1.998,2016,2
Mar-16,2.09,2016,3
Apr-16,2.152,2016,4
May-16,2.315,2016,5
Jun-16,2.423,2016,6
Jul-16,2.405,2016,7
Aug-16,2.351,2016,8
Sep-16,2.394,2016,9
Oct-16,2.454,2016,10
Nov-16,2.439,2016,11
Dec-16,2.51,2016,12
Jan-17,2.58,2017,1
Feb-17,2.568,2017,2
Mar-17,2.554,2017,3
Apr-17,2.583,2017,4
May-17,2.56,2017,5
Jun-17,2.511,2017,6
Jul-17,2.496,2017,7
Aug-17,2.595,2017,8
Sep-17,2.785,2017,9
Oct-17,2.794,2017,10
Nov-17,2.909,2017,11
Dec-17,2.909,2017,12
Jan-18,3.018,2018,1
Feb-18,3.046,2018,2
Mar-18,2.988,2018,3
Apr-18,3.096,2018,4
May-18,3.244,2018,5
Jun-18,3.253,2018,6
Jul-18,3.233,2018,7
Aug-18,3.218,2018,8
Sep-18,3.262,2018,9
Oct-18,3.365,2018,10
Nov-18,3.3,2018,11
Dec-18,3.123,2018,12
Jan-19,2.98,2019,1
Feb-19,2.997,2019,2
Mar-19,3.076,2019,3
Apr-19,3.121,2019,4
May-19,3.161,2019,5
Jun-19,3.089,2019,6
Jul-19,3.045,2019,7
Aug-19,3.005,2019,8
Sep-19,3.016,2019,9
Oct-19,3.053,2019,10
Nov-19,3.069,2019,11
Dec-19,3.055,2019,12
Jan-20,3.048,2020,1
Feb-20,2.91,2020,2
Mar-20,2.729,2020,3
Apr-20,2.493,2020,4
May-20,2.392,2020,5
Jun-20,2.408,2020,6
Jul-20,2.434,2020,7
Aug-20,2.429,2020,8
Sep-20,2.414,2020,9
Oct-20,2.389,2020,10
Nov-20,2.432,2020,11
Dec-20,2.585,2020,12
Jan-21,2.681,2021,1
Feb-21,2.847,2021,2
Mar-21,3.152,2021,3
Apr-21,3.13,2021,4
May-21,3.217,2021,5
Jun-21,3.287,2021,6
Jul-21,3.339,2021,7
Aug-21,3.35,2021,8
Sep-21,3.384,2021,9
Oct-21,3.612,2021,10
Nov-21,3.727,2021,11
Dec-21,3.641,2021,12
Jan-22,3.724,2022,1
Feb-22,4.032,2022,2
Mar-22,5.105,2022,3
Apr-22,5.12,2022,4
