LANDING_YEAR,LANDING_MONTH,TAC_mt,TAC_N,TAC_S,Alloc_lat,QuotaAllocated,QuotaAllocationNumber,TAC_mt_accum,
2000,1,186791,0.33333,0.66666,35.67,1,1,186791,
2000,2,186791,0.33333,0.66666,35.67,0,1,180510.7016,
2000,3,186791,0.33333,0.66666,35.67,0,1,172151.5875,
2000,4,186791,0.33333,0.66666,35.67,0,1,162305.2107,
2000,5,186791,0.33333,0.66666,35.67,0,1,158320.7446,
2000,6,186791,0.33333,0.66666,35.67,0,1,156354.639,
2000,7,186791,0.33333,0.66666,35.67,0,1,154762.4483,
2000,8,186791,0.33333,0.66666,35.67,0,1,149656.9547,
2000,9,186791,0.33333,0.66666,35.67,0,1,140620.978,
2000,10,90000,0.5,0.5,35.67,1,2,90000,
2000,11,90000,0.5,0.5,35.67,0,2,85101.24141,
2000,12,90000,0.5,0.5,35.67,0,2,82731.93886,
2001,1,134737,0.33333,0.66666,35.67,1,3,134737,
2001,2,134737,0.33333,0.66666,35.67,0,3,125981.5723,
2001,3,134737,0.33333,0.66666,35.67,0,3,119631.4841,
2001,4,134737,0.33333,0.66666,35.67,0,3,113305.8759,
2001,5,134737,0.33333,0.66666,35.67,0,3,111186.5889,
2001,6,134737,0.33333,0.66666,35.67,0,3,107756.7624,
2001,7,134737,0.33333,0.66666,35.67,0,3,104114.7146,
2001,8,134737,0.33333,0.66666,35.67,0,3,92387.93347,
2001,9,134737,0.33333,0.66666,35.67,0,3,80553.08303,
2001,10,72306,0.5,0.5,35.67,1,4,72306,
2001,11,72306,0.5,0.5,35.67,0,4,65816.36777,
2001,12,72306,0.5,0.5,35.67,0,4,61463.74755,
2002,1,118442,0.33333,0.66666,35.67,1,5,118442,
2002,2,118442,0.33333,0.66666,35.67,0,5,114023.6057,
2002,3,118442,0.33333,0.66666,35.67,0,5,106368.0914,
2002,4,118442,0.33333,0.66666,35.67,0,5,100467.8072,
2002,5,118442,0.33333,0.66666,35.67,0,5,95711.99916,
2002,6,118442,0.33333,0.66666,35.67,0,5,93913.27249,
2002,7,118442,0.33333,0.66666,35.67,0,5,90302.69174,
2002,8,118442,0.33333,0.66666,35.67,0,5,74986.47358,
2002,9,118442,0.33333,0.66666,35.67,0,5,51689.62018,
2002,10,47290,0.5,0.5,35.67,1,6,47290,
2002,11,47290,0.5,0.5,35.67,0,6,37264.51137,
2002,12,47290,0.5,0.5,35.67,0,6,31905.39917,
2003,1,110908,0.33333,0.66666,39,1,7,110908,
2003,2,110908,0.33333,0.66666,39,0,7,100205.6187,
2003,3,110908,0.33333,0.66666,39,0,7,96638.55329,
2003,4,110908,0.33333,0.66666,39,0,7,91841.83982,
2003,5,110908,0.33333,0.66666,39,0,7,90783.9209,
2003,6,110908,0.33333,0.66666,39,0,7,88991.81754,
2003,7,110908,0.33333,0.66666,39,0,7,86924.12352,
2003,8,110908,0.33333,0.66666,39,0,7,79259.00762,
2003,9,59508,0.2,0.8,39,1,8,59508,
2003,10,59508,0.2,0.8,39,0,8,51028.08429,
2003,11,59508,0.2,0.8,39,0,8,46027.13133,
2003,12,59508,0.2,0.8,39,0,8,45197.52268,
2004,1,122747,0.33333,0.66666,39,1,9,122747,
2004,2,122747,0.33333,0.66666,39,0,9,116673.8806,
2004,3,122747,0.33333,0.66666,39,0,9,115242.3562,
2004,4,122747,0.33333,0.66666,39,0,9,112256.7028,
2004,5,122747,0.33333,0.66666,39,0,9,109666.1329,
2004,6,122747,0.33333,0.66666,39,0,9,108728.3116,
2004,7,122747,0.33333,0.66666,39,0,9,105006.1109,
2004,8,122747,0.33333,0.66666,39,0,9,91362.37259,
2004,9,68009,0.2,0.8,39,1,10,68009,
2004,10,68009,0.2,0.8,39,0,10,58424.32378,
2004,11,68009,0.2,0.8,39,0,10,47590.65239,
2004,12,68009,0.2,0.8,39,0,10,40970.9648,
2005,1,136179,0.33333,0.66666,39,1,11,136179,
2005,2,136179,0.33333,0.66666,39,0,11,134617.6484,
2005,3,136179,0.33333,0.66666,39,0,11,132700.4069,
2005,4,136179,0.33333,0.66666,39,0,11,129347.4104,
2005,5,136179,0.33333,0.66666,39,0,11,125692.8992,
2005,6,136179,0.33333,0.66666,39,0,11,124090.1006,
2005,7,136179,0.33333,0.66666,39,0,11,122175.4001,
2005,8,136179,0.33333,0.66666,39,0,11,108557.4922,
2005,9,85132,0.2,0.8,39,1,12,85132,
2005,10,85132,0.2,0.8,39,0,12,66428.51096,
2005,11,85132,0.2,0.8,39,0,12,61509.36566,
2005,12,85132,0.2,0.8,39,0,12,53723.92073,
2006,1,41348,0,100,49,1,13,41348,
2006,2,41348,0,100,49,0,13,39557.9467,
2006,3,41348,0,100,49,0,13,36724.40687,
2006,4,41348,0,100,49,0,13,31749.05558,
2006,5,41348,0,100,49,0,13,28562.11377,
2006,6,41348,0,100,49,0,13,25077.57273,
2006,7,47255,0,100,49,1,14,47255,
2006,8,47255,0,100,49,0,14,43195.28841,
2006,9,29534,0,100,49,1,15,29534,
2006,10,29534,0,100,49,0,15,13741.48808,
2006,11,29534,0,100,49,0,15,0,1
2006,12,29534,0,100,49,0,15,0,1
2007,1,53397,0,100,49,1,16,53397,0
2007,2,53397,0,100,49,0,16,46725.15246,0
2007,3,53397,0,100,49,0,16,43457.66535,
2007,4,53397,0,100,49,0,16,35530.96404,
2007,5,53397,0,100,49,0,16,32046.93964,
2007,6,53397,0,100,49,0,16,28688.13531,
2007,7,61025,0,100,49,1,17,61025,
2007,8,61025,0,100,49,0,17,49928.84695,
2007,9,38141,0,100,49,1,18,38141,
2007,10,38141,0,100,49,0,18,13515.60357,
2007,11,38141,0,100,49,0,18,2965.401557,
2007,12,38141,0,100,49,0,18,0,
2008,1,26550,0,100,49,1,19,26550,
2008,2,26550,0,100,49,0,19,24227.02374,
2008,3,26550,0,100,49,0,19,20262.18735,
2008,4,26550,0,100,49,0,19,12032.08128,
2008,5,26550,0,100,49,0,19,5088.830832,
2008,6,26550,0,100,49,0,19,0,
2008,7,34568,0,100,49,1,20,34568,
2008,8,34568,0,100,49,0,20,4701.334657,
2008,9,19066,0,100,49,1,21,19066,
2008,10,19066,0,100,49,0,21,2586.703784,
2008,11,19066,0,100,49,0,21,2579.282559,
2008,12,19066,0,100,49,0,21,2527.871493,
2009,1,22006,0,100,49,1,22,22006,
2009,2,22006,0,100,49,0,22,6372.155147,
2009,3,22006,0,100,49,0,22,1745.745209,
2009,4,22006,0,100,49,0,22,1719.50988,
2009,5,22006,0,100,49,0,22,1712.227454,
2009,6,22006,0,100,49,0,22,1710.588171,
2009,7,25293,0,100,49,1,23,25293,
2009,8,25293,0,100,49,0,23,811.5873943,
2009,9,11933,0,100,49,1,24,11933,
2009,10,11933,0,100,49,0,24,0,
2009,11,11933,0,100,49,0,24,0,
2009,12,11933,0,100,49,0,24,0,
2010,1,22463,0,100,49,1,25,22463,
2010,2,22463,0,100,49,0,25,20392.62552,
2010,3,22463,0,100,49,0,25,15235.83506,
2010,4,22463,0,100,49,0,25,9876.299198,
2010,5,22463,0,100,49,0,25,5707.927288,
2010,6,22463,0,100,49,0,25,2095.936226,
2010,7,25861,0,100,49,1,26,25861,
2010,8,25861,0,100,49,0,26,0,
2010,9,11760,0,100,49,1,27,11760,
2010,10,11760,0,100,49,0,27,1939.464592,
2010,11,11760,0,100,49,0,27,1864.068922,
2010,12,11760,0,100,49,0,27,1762.18119,
2011,1,15214,0,100,49,1,28,15214,
2011,2,15214,0,100,49,0,28,2528.636189,
2011,3,15214,0,100,49,0,28,335.2780353,
2011,4,15214,0,100,49,0,28,28.35203636,
2011,5,15214,0,100,49,0,28,28.3497684,
2011,6,15214,0,100,49,0,28,0,
2011,7,17530,0,100,49,1,29,17530,
2011,8,17530,0,100,49,0,29,0,
2011,9,8582,0,100,49,1,30,8582,
2011,10,8582,0,100,49,0,30,764.0347648,
2011,11,8582,0,100,49,0,30,744.7436672,
2011,12,8582,0,100,49,0,30,732.8014329,
2012,1,33093,0,100,49,1,31,33093,
2012,2,33093,0,100,49,0,31,24486.32518,
2012,3,33093,0,100,49,0,31,22819.66305,
2012,4,33093,0,100,49,0,31,22596.7419,
2012,5,33093,0,100,49,0,31,21881.16864,
2012,6,33093,0,100,49,0,31,19401.52385,
2012,7,37964,0,100,49,1,32,37964,
2012,8,37964,0,100,49,0,32,5754.639379,
2012,9,23352,0,100,49,1,33,23352,
2012,10,23352,0,100,49,0,33,9322.524515,
2012,11,23352,0,100,49,0,33,1721.69803,
2012,12,23352,0,100,49,0,33,840.8279972,
2013,1,19123,0,100,49,1,34,19123,
2013,2,19123,0,100,49,0,34,18996.07034,
2013,3,19123,0,100,49,0,34,18995.48974,
2013,4,19123,0,100,49,0,34,18970.14618,
2013,5,19123,0,100,49,0,34,18269.19582,
2013,6,19123,0,100,49,0,34,16693.12744,
2013,7,22998,0,100,49,1,35,22998,
2013,8,22998,0,100,49,0,35,0,
2013,9,13374,0,100,49,1,36,13374,
2013,10,13374,0,100,49,0,36,5288.471512,
2013,11,13374,0,100,49,0,36,0,
2013,12,13374,0,100,49,0,36,0,
2014,1,5446,0,100,49,1,37,5446,
2014,2,5446,0,100,49,0,37,4620.507699,
2014,3,5446,0,100,49,0,37,3333.268797,
2014,4,5446,0,100,49,0,37,2482.637046,
2014,5,5446,0,100,49,0,37,412.8433503,
2014,6,5446,0,100,49,0,37,0,
2014,7,7718,0,100,49,1,38,7718,
2014,8,7718,0,100,49,0,38,584.0792748,
2014,9,4823,0,100,49,1,39,4823,
2014,10,4823,0,100,49,0,39,0,
2014,11,4823,0,100,49,0,39,0,
2014,12,4823,0,100,49,0,39,0,
2015,1,6752,0,100,49,1,40,6752,
2015,2,6752,0,100,49,0,40,6370.688935,
2015,3,6752,0,100,49,0,40,6147.996853,
2015,4,6752,0,100,49,0,40,5084.946888,
2015,5,6752,0,100,49,0,40,3128.501843,
2015,6,6752,0,100,49,0,40,3022.706866,
2015,7,0,0,100,49,1,41,0,
2015,8,0,0,100,49,0,41,0,
2015,9,0,0,100,49,1,42,0,
2015,10,0,0,100,49,0,42,0,
2015,11,0,0,100,49,0,42,0,
2015,12,0,0,100,49,0,42,0,
2016,1,0,0,100,49,1,43,0,
2016,2,0,0,100,49,0,43,0,
2016,3,0,0,100,49,0,43,0,
2016,4,0,0,100,49,0,43,0,
2016,5,0,0,100,49,0,43,0,
2016,6,0,0,100,49,0,43,0,
2016,7,0,0,100,49,1,44,0,
2016,8,0,0,100,49,0,44,0,
2016,9,0,0,100,49,1,45,0,
2016,10,0,0,100,49,0,45,0,
2016,11,0,0,100,49,0,45,0,
2016,12,0,0,100,49,0,45,0,
2017,1,0,0,100,49,0,45,0,
2017,2,0,0,100,49,0,45,0,
2017,3,0,0,100,49,0,45,0,
2017,4,0,0,100,49,0,45,0,
2017,5,0,0,100,49,0,45,0,
2017,6,0,0,100,49,0,45,0,
2017,7,0,0,100,49,0,45,0,
2017,8,0,0,100,49,0,45,0,
2017,9,0,0,100,49,0,45,0,
2017,10,0,0,100,49,0,45,0,
2017,11,0,0,100,49,0,45,0,
2017,12,0,0,100,49,0,45,0,
2018,1,0,0,100,49,0,45,0,
2018,2,0,0,100,49,0,45,0,
2018,3,0,0,100,49,0,45,0,
2018,4,0,0,100,49,0,45,0,
2018,5,0,0,100,49,0,45,0,
2018,6,0,0,100,49,0,45,0,
2018,7,0,0,100,49,0,45,0,
2018,8,0,0,100,49,0,45,0,
2018,9,0,0,100,49,0,45,0,
2018,10,0,0,100,49,0,45,0,
2018,11,0,0,100,49,0,45,0,
2018,12,0,0,100,49,0,45,0,
2019,1,0,0,100,49,0,45,0,
2019,2,0,0,100,49,0,45,0,
2019,3,0,0,100,49,0,45,0,
2019,4,0,0,100,49,0,45,0,
2019,5,0,0,100,49,0,45,0,
2019,6,0,0,100,49,0,45,0,
2019,7,0,0,100,49,0,45,0,
2019,8,0,0,100,49,0,45,0,
2019,9,0,0,100,49,0,45,0,
2019,10,0,0,100,49,0,45,0,
2019,11,0,0,100,49,0,45,0,
2019,12,0,0,100,49,0,45,0,
